D_chem,f_max,f_max err,lambda_max,lambda_max_err
16,0.310176031,0.119649734,3.223975747,1.243641677
21.33,0.301877638,0.072994481,3.312600449,0.800991924
26.67,0.285981183,0.046203787,3.496733566,0.56494043
32,0.282103109,0.065976966,3.544803191,0.829042122
37.34,0.271092686,0.058745003,3.688775281,0.799346956
42.67,0.284207622,0.102241308,3.518554479,1.265770461
53.33,0.267521197,0.09374562,3.738021549,1.309889278
58.67,0.257793867,0.047004912,3.879068235,0.707290926
64,0.248551858,0.013168186,4.023305262,0.213153227
